id,budget,popularity,popularity2,rating,release_year,revenue,theatrical,theatrical_limited,vote_average,vote_count,release_month,release_day,genders_0_crew,genders_1_crew,genders_2_crew,_collection_name,_num_Keywords,_num_cast,release_dayofweek,release_quarter,_budget_runtime_ratio,_budget_popularity_ratio,_budget_year_ratio,_releaseYear_popularity_ratio,_releaseYear_popularity_ratio2,meanruntimeByYear,meanPopularityByYear,meanBudgetByYear,_popularity_theatrical_ratio,_budget_theatrical_ratio,_popularity_totalVotes_ratio,_totalVotes_releaseYear_ratio,_budget_totalVotes_ratio,_rating_popularity_ratio,_rating_totalVotes_ratio,_budget_rating_ratio,_runtime_rating_ratio,has_homepage,isbelongs_to_collectionNA,isTaglineNA,isOriginalLanguageEng,isTitleDifferent,isMovieReleased,original_title_letter_count,original_title_word_count,title_word_count,overview_word_count,tagline_word_count,production_countries_count,production_companies_count,cast_count,crew_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War
1,16.45456796,6.575393,0,0,2015,12314651,6,0,7.2,11800,2,20,59,0,13,282,4,24,4,1,0.176930838,2.502446311,0.00000405,306.4455615,0.003263222,0,0,0,0.912492987,2.742427993,1794.569541,5.856079404,0.001394455,0,0,0,0,1,0,0,1,0,1,22,5,5,29,11,1,3,24,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17.50439004,8.248895,0,0,2004,95149435,10,0,6.9,4500,8,6,1,4,4,641,4,20,4,3,0.154906107,2.12202847,0.00000436,242.9416304,0.004116215,0,0,0,1.212283585,1.750439004,545.5276131,2.245508982,0.003889864,0,0,0,0,1,0,0,1,0,1,40,6,6,69,13,1,1,20,9,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
3,15.00943333,64.29999,0,0,2014,13092000,37,1,6.3,4466,10,10,49,4,11,1,12,51,4,4,0.142946984,0.233428237,0.0000037,31.32193333,0.031926509,0,0,0,0.575427772,0.40566036,69.45568732,2.217477656,0.003360823,0,0,0,0,0,0,0,1,0,1,8,1,1,21,10,1,3,51,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,13.99783295,3.174936,0,0,2012,16000000,3,0,7.6,9106,3,9,3,0,0,1,7,7,4,1,0.114736336,4.408855154,0.00000346,633.7135615,0.001578,0,0,0,0.944900937,4.665944316,2868.08931,4.52584493,0.00153721,0,0,0,0,0,0,0,0,0,1,7,1,1,106,0,1,0,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,0,1.14807,0,0,2009,3923970,1,0,6.1,2124,2,5,2,0,0,1,0,4,3,1,0,0,0,1749.893299,0.000571463,0,0,0,0.871027028,0,1850.061407,1.057242409,0,0,0,0,0,1,0,0,0,1,1,4,1,2,32,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,15.89495222,0.743274,0,0,1987,3261638,2,0,5.9,3576,8,6,7,0,4,1,0,4,3,3,0.191505448,21.38505077,0.00000403,2673.307555,0.000374068,0,0,0,2.690797741,7.947476112,4811.146361,1.799698037,0.004444897,0,0,0,0,1,0,0,1,0,1,38,7,7,28,0,0,0,4,11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,16.45456796,7.286477,0,0,2012,85446075,33,0,7.4,3330,8,30,60,6,11,1,0,14,3,3,0.178854,2.258233706,0.00000406,276.1279559,0.003621509,0,0,0,4.528937647,0.498623271,457.0109808,1.655069583,0.004941312,0,0,0,0,0,0,0,1,0,1,14,2,2,39,7,2,2,14,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,0,1.949044,0,0,2004,2586511,1,0,7.3,6767,1,15,0,1,0,1,7,4,3,1,0,0,0,1028.196388,0.000972577,0,0,0,0.51307205,0,3471.95856,3.376746507,0,0,0,0,0,1,0,0,1,0,1,12,2,2,80,4,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,6.902423,0,0,1996,34327391,6,0,7.4,5293,2,16,1,0,7,631,4,12,4,1,0,0,0,289.1738162,0.003458128,0,0,0,0.869259969,0,766.8321689,2.651803607,0,0,0,0,0,1,0,0,1,0,1,22,3,3,75,5,1,3,12,8,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,15.60727019,4.672036,0,0,2003,18750246,1,0,5.7,7004,4,16,3,4,4,1,2,20,2,2,0.171508464,3.340571475,0.00000389,428.7210116,0.002332519,0,0,0,0.214039447,15.60727019,1499.132284,3.496754868,0.002228337,0,0,0,0,1,0,0,1,0,1,13,3,3,50,7,1,1,20,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
